City_State,Timestamp,Traffic_Congestion (%),Avg_Vehicle_Speed (MPH),PM2.5_Level (µg/m³),CO2_Emissions (Metric Tons),Noise_Pollution (dB),Renewable_Energy (%),Electricity_Consumption (MWh),Water_Consumption (Million Gallons),Temperature (°F),Sensor_Reliability (0-1),Traffic_Incident,Weather_Condition
"San Jose, CA",09-01-2024 14:00,24,54,7,384.02,82,52.07,2228.31,135,92.8,0.99,Heavy Traffic,Sunny
"San Jose, CA",09-01-2024 15:00,35,48,38.19,296.74,60,71.74,2728.78,185.06,33,0.91,Heavy Traffic,Foggy
"San Antonio, TX",09-01-2024 16:00,31,17,31.1,386.17,63,10.57,2718.69,134.03,48.9,0.72,Event Nearby,Rainy
"Phoenix, AZ",09-01-2024 17:00,78,51,48.22,109.37,65,68.18,2006.31,46.84,73.9,0.91,Clear,Snowy
"Philadelphia, PA",09-01-2024 18:00,71,19,39,356.02,57,65.1,1345.29,19.1,46.7,0.74,Clear,Sunny
"New York, NY",09-01-2024 19:00,35,32,25.71,185.02,77,69.81,4570.65,126.55,42.1,0.72,Heavy Traffic,Sunny
"Houston, TX",09-01-2024 20:00,50,33,36.52,183.64,88,17.38,2277.99,47.03,33,0.71,Event Nearby,Cloudy
"San Jose, CA",09-01-2024 21:00,47,21,10.28,312.84,60,52.75,3681.91,174.02,57.7,0.78,Heavy Traffic,Foggy
"Phoenix, AZ",09-01-2024 22:00,37,28,5.48,120.85,73,69.77,4154.74,192.44,87.8,0.86,Heavy Traffic,Cloudy
"San Diego, CA",09-01-2024 23:00,73,42,48.59,364.26,71,76.14,2812.63,27.02,57.5,0.94,Accident,Sunny
"Philadelphia, PA",10-01-2024 00:00,67,28,42.89,283.84,40,20.5,1296.7,74.09,94.4,0.77,Road Construction,Cloudy
"Houston, TX",10-01-2024 01:00,69,60,34.33,152.04,86,14.24,1805.29,58.11,69.6,0.94,Event Nearby,Rainy
"San Antonio, TX",10-01-2024 02:00,79,35,26.72,299.43,56,41.69,2078.06,165.99,63,0.77,Road Construction,Snowy
"New York, NY",10-01-2024 03:00,86,43,7.05,368.69,84,64.01,1230.12,76.13,64.9,0.73,Heavy Traffic,Foggy
"Houston, TX",10-01-2024 04:00,36,57,13.63,216.93,60,74.65,2249.18,163.41,38.8,0.83,Event Nearby,Cloudy
"Houston, TX",10-01-2024 05:00,79,37,21.38,229.73,78,61.65,4857.9,28.79,75.9,0.93,Heavy Traffic,Rainy
"Philadelphia, PA",10-01-2024 06:00,58,37,28.32,263.37,77,26.12,3506.98,156.96,74.5,0.93,Clear,Snowy
"San Jose, CA",10-01-2024 07:00,38,43,31.56,290.68,79,66.65,2622.58,40.94,32.4,0.89,Accident,Rainy
"Los Angeles, CA",10-01-2024 08:00,59,50,19.04,232.79,56,53.43,3470.61,139.32,56.6,0.71,Accident,Snowy
"Philadelphia, PA",10-01-2024 09:00,86,39,24,368.26,58,14.35,1500.49,71.17,79.6,0.93,Event Nearby,Snowy
"Philadelphia, PA",10-01-2024 10:00,92,69,48.11,207.97,40,69.82,1553.58,81.6,60.8,0.88,Heavy Traffic,Rainy
"Houston, TX",10-01-2024 11:00,41,58,17.73,240.38,62,76.27,2539.12,180.67,63.2,0.72,Road Construction,Cloudy
"New York, NY",10-01-2024 12:00,71,59,42.88,75.55,78,47.11,4241.37,136.47,50.2,0.81,Clear,Rainy
"Dallas, TX",10-01-2024 13:00,29,28,7.82,335.27,65,39.29,3396,69.18,83.1,0.97,Event Nearby,Foggy
"San Diego, CA",10-01-2024 14:00,38,63,30.76,85.23,69,72.39,1534.45,51.26,40.4,0.83,Road Construction,Snowy
"Dallas, TX",10-01-2024 15:00,63,33,14.01,357.23,81,12.7,3680.39,195.05,90.6,0.82,Event Nearby,Snowy
"Phoenix, AZ",10-01-2024 16:00,68,23,48.77,298.31,62,49.97,3429.99,64.79,44.2,0.98,Accident,Cloudy
"Dallas, TX",10-01-2024 17:00,64,59,46.95,130.59,59,36.39,1833.88,84.89,83.6,0.88,Road Construction,Foggy
"San Jose, CA",10-01-2024 18:00,75,20,9.68,363.9,58,50.45,2466.14,168.18,46.7,0.94,Heavy Traffic,Cloudy
"Phoenix, AZ",10-01-2024 19:00,88,41,14.78,119.71,85,15.57,3199.21,115.15,66.8,0.91,Event Nearby,Sunny
"Phoenix, AZ",10-01-2024 20:00,37,33,21.13,264.3,47,46.35,4193.55,147.29,93.7,0.73,Road Construction,Foggy
"San Jose, CA",10-01-2024 21:00,67,48,37.23,213.27,74,12.86,3000.79,32.65,60.1,0.97,Road Construction,Cloudy
"Los Angeles, CA",10-01-2024 22:00,80,24,48.84,91.27,72,56.35,1542.96,188.03,78.7,0.72,Road Construction,Cloudy
"Dallas, TX",10-01-2024 23:00,60,52,47.86,138.55,57,61.59,3462.08,54.37,53.1,0.85,Road Construction,Rainy
"San Jose, CA",11-01-2024 00:00,20,51,10.95,130.66,87,17.5,2300.74,177.67,46,0.99,Clear,Rainy
"Philadelphia, PA",11-01-2024 01:00,44,41,5.15,364.29,41,63.42,4135.57,118.9,91.4,0.87,Event Nearby,Snowy
"Los Angeles, CA",11-01-2024 02:00,76,45,29.81,214.03,77,73.8,4848.27,43.72,83.9,0.9,Road Construction,Sunny
"San Diego, CA",11-01-2024 03:00,44,32,38.63,273,41,69.83,3633.19,161.87,91.7,0.97,Heavy Traffic,Foggy
"Dallas, TX",11-01-2024 04:00,36,48,21.23,284.54,49,69.32,4186.46,131.25,94.2,0.8,Road Construction,Rainy
"San Jose, CA",11-01-2024 05:00,61,62,10.78,138.89,76,18.04,2966.21,130.19,81.8,0.72,Road Construction,Cloudy
"Philadelphia, PA",11-01-2024 06:00,63,37,38.63,242.88,64,16.3,1729.34,45.73,60.4,0.97,Heavy Traffic,Snowy
"Los Angeles, CA",11-01-2024 07:00,27,32,7.1,68.49,74,72.61,1160.4,186.22,72.9,0.93,Road Construction,Foggy
"Philadelphia, PA",11-01-2024 08:00,68,32,24.44,214.73,65,24.37,3204.8,164.49,88.9,0.88,Accident,Foggy
"Chicago, IL",11-01-2024 09:00,44,38,14.72,167.5,71,56.45,1425.77,21.08,36.2,0.93,Event Nearby,Snowy
"New York, NY",11-01-2024 10:00,75,49,15.22,329.56,75,29.02,3882.79,65.52,56.7,0.86,Clear,Foggy
"Houston, TX",11-01-2024 11:00,80,18,17.28,398.63,52,73.03,1302.33,67.32,97.6,0.92,Heavy Traffic,Rainy
"Los Angeles, CA",11-01-2024 12:00,31,61,13.36,307.25,71,58.02,4397.12,191.81,64.6,0.84,Road Construction,Rainy
"New York, NY",11-01-2024 13:00,94,65,36.2,335.36,54,20.51,4784.83,101.04,93.3,0.81,Clear,Snowy
"Los Angeles, CA",11-01-2024 14:00,78,21,43.3,243.78,66,14.2,2161.83,140.83,85.2,0.79,Heavy Traffic,Rainy
"Dallas, TX",11-01-2024 15:00,42,38,11.32,266.63,48,40.59,3077.97,179.64,85.9,0.7,Event Nearby,Snowy
"Houston, TX",11-01-2024 16:00,36,38,40.9,249.45,65,62.24,1651.68,133.53,58.7,0.95,Heavy Traffic,Foggy
"San Antonio, TX",11-01-2024 17:00,50,53,19.74,368.97,76,43.3,2545.32,55.53,84.5,0.97,Road Construction,Sunny
"Houston, TX",11-01-2024 18:00,50,50,10.18,338.27,71,38.2,1933.4,172.15,95,0.73,Accident,Sunny
"Houston, TX",11-01-2024 19:00,61,36,21.57,116.57,88,22.43,2200.06,182.22,91.5,0.95,Accident,Cloudy
"Houston, TX",11-01-2024 20:00,55,19,6.85,304.49,57,63.29,2692.4,109.53,45.6,0.79,Clear,Rainy
"Philadelphia, PA",11-01-2024 21:00,37,54,29.17,153.41,67,59.99,4755.88,73.05,39,0.92,Clear,Foggy
"New York, NY",11-01-2024 22:00,57,67,45.09,360.75,50,26.75,3127.51,22.7,89.6,0.8,Heavy Traffic,Foggy
"Dallas, TX",11-01-2024 23:00,38,40,39.37,89.24,62,13.85,2301.03,193.58,90.7,0.95,Clear,Sunny
"Philadelphia, PA",12-01-2024 00:00,28,32,15.45,359.32,73,26.47,4870.83,43.3,85.2,0.97,Heavy Traffic,Sunny
"Philadelphia, PA",12-01-2024 01:00,87,44,41.46,241.07,63,71.97,4868.56,93.26,93,0.85,Clear,Snowy
"San Jose, CA",12-01-2024 02:00,83,35,30.68,311.48,75,49.22,3122.54,95.94,53.3,0.83,Event Nearby,Foggy
"San Jose, CA",12-01-2024 03:00,91,44,5.55,256.13,65,38.64,4503.99,93.4,57.1,0.83,Event Nearby,Rainy
"Phoenix, AZ",12-01-2024 04:00,76,32,31.38,134.53,87,49.63,2403.72,117.12,98.9,0.8,Clear,Sunny
"Philadelphia, PA",12-01-2024 05:00,64,69,27.67,295.4,75,50.46,1510.02,111.35,82.2,0.75,Heavy Traffic,Sunny
"San Jose, CA",12-01-2024 06:00,85,17,12.27,124.53,70,35.06,1048.92,188.4,100,0.98,Event Nearby,Cloudy
"New York, NY",12-01-2024 07:00,45,41,38.09,238.37,58,45.87,1976.2,120.39,53.6,1,Heavy Traffic,Snowy
"Philadelphia, PA",12-01-2024 08:00,69,35,25.28,144.01,82,17.94,1220.21,39.07,62.1,0.8,Clear,Cloudy
"San Antonio, TX",12-01-2024 09:00,45,39,26.95,265.79,50,62.39,3231.06,123.89,43.7,0.75,Event Nearby,Cloudy
"New York, NY",12-01-2024 10:00,74,63,47.59,273.97,82,51.72,1926.07,118.49,89.1,0.95,Event Nearby,Rainy
"Chicago, IL",12-01-2024 11:00,92,23,44.56,312.29,75,13.95,4962.44,146.54,44.8,0.94,Heavy Traffic,Sunny
"San Antonio, TX",12-01-2024 12:00,31,36,18.19,375.71,48,48.72,1777.23,149.84,50.9,0.95,Accident,Cloudy
"Philadelphia, PA",12-01-2024 13:00,50,23,26.73,399.88,47,14.47,1524.59,139.45,33.8,0.94,Clear,Cloudy
"New York, NY",12-01-2024 14:00,49,35,7.74,220.88,85,30.71,2853.4,52.75,38.3,0.72,Event Nearby,Foggy
"San Diego, CA",12-01-2024 15:00,28,45,28.13,173.9,62,38.65,2157.3,33.86,50.9,0.8,Event Nearby,Sunny
"Dallas, TX",12-01-2024 16:00,53,49,13.38,284.55,63,11.04,3369.85,102.01,39.9,0.95,Accident,Sunny
"Los Angeles, CA",12-01-2024 17:00,44,17,45.43,139.29,67,76.25,2136.75,35.64,57.8,0.95,Accident,Snowy
"Dallas, TX",12-01-2024 18:00,46,30,45.97,272.66,47,41.63,3346.22,184.12,42.5,0.79,Clear,Cloudy
"Dallas, TX",12-01-2024 19:00,91,52,20.78,190.13,60,72.93,2993.91,87.96,70.8,0.95,Heavy Traffic,Sunny
"Phoenix, AZ",12-01-2024 20:00,30,66,22.76,146.8,70,29.07,2234.76,195.53,71.8,0.79,Accident,Snowy
"Houston, TX",12-01-2024 21:00,71,39,47.63,382.48,48,40.96,1355.28,104.24,34.3,0.98,Road Construction,Foggy
"San Antonio, TX",12-01-2024 22:00,68,65,16.58,172.41,88,58.56,1072.56,132.1,62,0.98,Clear,Rainy
"San Diego, CA",12-01-2024 23:00,52,63,28.63,121.08,48,19.76,2380.59,68.84,79.9,0.98,Road Construction,Sunny
"Philadelphia, PA",13-01-2024 00:00,32,68,19.5,110,46,28.75,4028.65,165.45,74.8,0.73,Road Construction,Sunny
"Houston, TX",13-01-2024 01:00,65,18,32.32,261.66,62,32.17,3436.96,48.4,69.5,0.88,Clear,Cloudy
"San Antonio, TX",13-01-2024 02:00,78,46,43.04,70.11,42,48.38,4046.57,76.02,39.8,0.93,Accident,Rainy
"Phoenix, AZ",13-01-2024 03:00,27,32,27.79,167.75,72,78.91,4257.95,24.18,90.5,0.88,Event Nearby,Sunny
"Dallas, TX",13-01-2024 04:00,36,51,13.28,387.81,45,64,2811.7,80.38,50.8,0.97,Accident,Sunny
"New York, NY",13-01-2024 05:00,53,68,44.5,299.08,85,59.95,1461.45,146.57,42,0.88,Clear,Sunny
"New York, NY",13-01-2024 06:00,91,68,40.3,60.54,65,51.66,2781.92,191.04,59.9,0.98,Event Nearby,Sunny
"Philadelphia, PA",13-01-2024 07:00,51,16,29.15,197.2,61,41.16,1484.65,12.38,86.8,0.87,Road Construction,Foggy
"Philadelphia, PA",13-01-2024 08:00,93,18,13.38,160.9,81,14.1,2930.83,120.15,39,0.91,Clear,Snowy
"San Jose, CA",13-01-2024 09:00,66,36,11.8,207.07,52,71.23,1950.93,162.25,39,0.91,Event Nearby,Snowy
"Houston, TX",13-01-2024 10:00,72,26,31.85,103.89,64,59.25,3460.05,39.46,82.1,0.93,Clear,Sunny
"San Antonio, TX",13-01-2024 11:00,62,66,12.43,59.07,64,38.71,1024.43,10.37,36.7,0.75,Accident,Rainy
"Chicago, IL",13-01-2024 12:00,31,46,43.61,147.53,56,68.28,1563.55,188.04,33.8,0.78,Accident,Snowy
"Philadelphia, PA",13-01-2024 13:00,77,19,15.66,250.71,50,35.38,4103.95,25.97,40.6,0.96,Heavy Traffic,Snowy
"Philadelphia, PA",13-01-2024 14:00,58,60,48.79,267.02,67,61.58,2175.25,132.16,86.7,0.96,Road Construction,Cloudy
"Houston, TX",13-01-2024 15:00,82,15,8.66,367.41,76,32.18,3654.19,192.75,68.8,0.88,Heavy Traffic,Foggy
"Philadelphia, PA",13-01-2024 16:00,22,27,40.77,165.01,51,40.34,3670.99,78.16,97.7,0.97,Road Construction,Rainy
"Philadelphia, PA",13-01-2024 17:00,58,29,7.84,108.47,88,61.08,4740.37,144.03,82.2,0.94,Road Construction,Foggy
"Phoenix, AZ",13-01-2024 18:00,26,18,25.57,280.31,46,59.53,2186.21,183.19,66.4,0.9,Road Construction,Cloudy
"San Diego, CA",13-01-2024 19:00,58,57,36.33,236.43,52,13.2,3751.19,77.53,46.3,0.96,Event Nearby,Sunny
"New York, NY",13-01-2024 20:00,76,67,16.21,355.77,76,62.39,1005.97,87.61,36.1,0.91,Accident,Cloudy
"Los Angeles, CA",13-01-2024 21:00,85,24,10.01,271.88,43,69.15,2540.39,62.23,59.3,0.76,Accident,Cloudy
"San Diego, CA",13-01-2024 22:00,90,26,45.85,356.02,67,14.65,1886.53,119.64,89.3,0.73,Road Construction,Snowy
"Phoenix, AZ",13-01-2024 23:00,34,18,49.35,275.28,75,54.28,1382.28,38.99,56.5,0.98,Heavy Traffic,Sunny
"San Antonio, TX",14-01-2024 00:00,59,30,46.46,120.94,64,12.24,3423.87,159.98,53.9,0.72,Clear,Sunny
"Los Angeles, CA",14-01-2024 01:00,81,51,41.83,233.59,74,66.74,2158.13,170.25,32.6,0.8,Heavy Traffic,Rainy
"Phoenix, AZ",14-01-2024 02:00,91,66,17.75,355.98,43,59.73,4157.1,39.98,57.9,0.74,Accident,Rainy
"Houston, TX",14-01-2024 03:00,79,54,7.02,320.96,81,48.03,2668.57,156.67,42.5,0.9,Heavy Traffic,Foggy
"Dallas, TX",14-01-2024 04:00,81,60,6.27,184.27,61,38.51,4063.69,119.7,59.4,0.99,Heavy Traffic,Snowy
"Los Angeles, CA",14-01-2024 05:00,43,34,26.98,296.46,42,47.69,3514.86,146.29,55.7,0.85,Accident,Snowy
"Phoenix, AZ",14-01-2024 06:00,21,45,48.37,351.3,59,10.93,2256.22,195.26,40.2,0.89,Accident,Rainy
"Philadelphia, PA",14-01-2024 07:00,45,69,24.92,347.92,77,75.82,1538.44,47.57,91.1,0.87,Accident,Snowy
"San Antonio, TX",14-01-2024 08:00,54,43,48.81,170.3,84,56.28,4075.63,119.08,87.2,0.73,Accident,Foggy
"Houston, TX",14-01-2024 09:00,21,37,28.46,267.67,56,47.82,4987.57,52.03,64,0.73,Accident,Sunny
"Philadelphia, PA",14-01-2024 10:00,59,38,32.79,150.72,76,35.56,2982.49,86.03,52.5,0.75,Road Construction,Snowy
"San Antonio, TX",14-01-2024 11:00,86,45,25.23,388.56,81,18.22,4209.25,164.98,70.5,0.88,Event Nearby,Foggy
"San Diego, CA",14-01-2024 12:00,66,32,30.24,277.21,84,52.06,3841.84,44.18,50.3,0.89,Event Nearby,Rainy
"Philadelphia, PA",14-01-2024 13:00,55,61,46.29,336.77,58,17.24,4909.18,51.66,63,0.88,Road Construction,Sunny
"Houston, TX",14-01-2024 14:00,45,59,7.19,51.61,87,58.31,2347.84,163.9,61.9,0.99,Accident,Cloudy
"Dallas, TX",14-01-2024 15:00,50,37,16.52,140.68,52,56.66,3439.83,51.32,80.2,0.87,Clear,Sunny
"Phoenix, AZ",14-01-2024 16:00,89,59,16.82,295.65,77,38.31,4127.38,72.47,85,0.89,Road Construction,Foggy
"Los Angeles, CA",14-01-2024 17:00,39,47,25.03,398.38,65,56.85,1331.15,71.33,42.6,0.8,Event Nearby,Sunny
"New York, NY",14-01-2024 18:00,27,66,24.08,210.09,82,13.51,2159.76,25.05,65.5,0.74,Heavy Traffic,Rainy
"Dallas, TX",14-01-2024 19:00,78,22,27.73,265.87,58,56.25,2807.02,75.1,49.5,0.87,Accident,Snowy
"Philadelphia, PA",14-01-2024 20:00,30,42,27.76,341.08,89,17.5,3309.83,61.85,43,0.76,Event Nearby,Snowy
"San Jose, CA",14-01-2024 21:00,37,52,28.83,380.57,66,38.26,4485.16,177.41,74.9,0.73,Clear,Snowy
"Houston, TX",14-01-2024 22:00,72,20,28.52,184.57,55,37.91,3943.49,21.43,56.9,0.92,Clear,Sunny
"San Jose, CA",14-01-2024 23:00,89,27,14.39,362.48,66,26.54,2397.97,57.77,64.9,0.78,Road Construction,Cloudy
"San Jose, CA",15-01-2024 00:00,59,64,21.24,76.74,51,66.02,1885.88,69.29,62,1,Accident,Sunny
"Phoenix, AZ",15-01-2024 01:00,91,68,8.75,380.62,66,78.67,2298.57,102.81,98.1,0.8,Event Nearby,Rainy
"San Jose, CA",15-01-2024 02:00,34,42,42.92,73.43,73,49.11,1692.82,33.53,48,0.92,Road Construction,Foggy
"New York, NY",15-01-2024 03:00,34,19,16.45,215.11,67,12.13,3113.03,151.54,64.5,0.76,Road Construction,Cloudy
"San Jose, CA",15-01-2024 04:00,54,33,11.72,93.7,76,31.94,3231.83,58.52,87.2,0.91,Clear,Snowy
"San Antonio, TX",15-01-2024 05:00,64,38,18.85,221.46,70,68.18,4346.3,77.83,74.1,0.88,Heavy Traffic,Sunny
"Chicago, IL",15-01-2024 06:00,76,62,26.83,199.3,80,49.97,3796.53,128.45,47.9,0.77,Heavy Traffic,Snowy
"San Antonio, TX",15-01-2024 07:00,60,57,8.75,325.94,74,63.61,4545,28.37,38.8,0.96,Accident,Cloudy
"Phoenix, AZ",15-01-2024 08:00,89,66,31.31,349.59,77,77.71,4945.57,32.57,60.7,0.73,Accident,Snowy
"Phoenix, AZ",15-01-2024 09:00,68,18,20.19,127.04,60,20.51,2053.52,101.89,67.3,0.99,Accident,Sunny
"San Antonio, TX",15-01-2024 10:00,82,65,5.7,106.49,42,71.85,2445.99,69.39,37.3,0.91,Road Construction,Snowy
"Chicago, IL",15-01-2024 11:00,89,59,28.92,351.46,59,65.75,3910.43,16.82,59.5,0.86,Heavy Traffic,Snowy
"San Diego, CA",15-01-2024 12:00,66,57,25.08,328.06,76,11.21,3103.77,67.83,37.7,0.93,Accident,Snowy
"New York, NY",15-01-2024 13:00,34,39,40.89,169.66,88,59.14,4008.11,54.22,41.3,0.75,Accident,Snowy
"New York, NY",15-01-2024 14:00,24,68,21.92,255.36,66,21.68,3329.54,199.8,82.7,0.77,Event Nearby,Sunny
"New York, NY",15-01-2024 15:00,69,69,43.78,297.38,41,44.46,1409.1,87.4,38.8,0.94,Heavy Traffic,Rainy
"Phoenix, AZ",15-01-2024 16:00,68,32,27.8,102.68,73,30.9,2036.06,179.11,31.8,0.75,Event Nearby,Sunny
"San Diego, CA",15-01-2024 17:00,68,49,33.36,117.55,44,16.69,4635.12,46.95,94.6,0.71,Event Nearby,Snowy
"Houston, TX",15-01-2024 18:00,53,48,31.66,224.14,47,68.38,4558.82,138.24,65,0.96,Event Nearby,Sunny
"San Jose, CA",15-01-2024 19:00,83,34,31.69,223.51,68,35.65,1733.15,20.94,64.1,0.71,Event Nearby,Sunny
"San Jose, CA",15-01-2024 20:00,29,26,43.62,94.4,63,35.51,3343.76,194.83,43.2,0.94,Clear,Rainy
"San Jose, CA",15-01-2024 21:00,67,59,45.54,247.02,88,76.69,4791.56,129.97,44.7,0.93,Clear,Rainy
"San Diego, CA",15-01-2024 22:00,41,37,20.52,259.14,55,63.78,4879.21,76.14,92.2,0.84,Road Construction,Cloudy
"Chicago, IL",15-01-2024 23:00,31,23,44.47,209.17,50,67.34,1199.58,136.15,49.4,0.8,Road Construction,Snowy
"New York, NY",16-01-2024 00:00,68,42,21.69,179.54,80,69.79,1770.97,169.94,62.9,1,Event Nearby,Rainy
"Phoenix, AZ",16-01-2024 01:00,82,52,11.63,313.25,82,21.64,4708.64,51.56,77,0.78,Clear,Cloudy
"Phoenix, AZ",16-01-2024 02:00,83,30,42.48,319.55,71,26.7,2079.21,133.88,91.8,0.82,Clear,Rainy
"Philadelphia, PA",16-01-2024 03:00,81,18,44.24,391.85,44,37.19,4684.62,184.4,63.6,0.94,Event Nearby,Snowy
"San Diego, CA",16-01-2024 04:00,71,46,29.88,239.32,71,16.53,2246.81,72.36,39.5,0.83,Clear,Rainy
"Los Angeles, CA",16-01-2024 05:00,20,64,17.24,54.77,89,68.34,2763.49,171.24,49.7,0.92,Heavy Traffic,Foggy
"Houston, TX",16-01-2024 06:00,30,50,47.76,200.01,81,54.53,3649.98,37.06,47.6,1,Heavy Traffic,Cloudy
"Chicago, IL",16-01-2024 07:00,24,26,17.43,375.56,65,70.08,2731.31,16.03,48.7,0.86,Road Construction,Cloudy
"Dallas, TX",16-01-2024 08:00,53,50,32.87,204.61,65,28.11,4809.79,81.68,70,0.83,Road Construction,Sunny
"Dallas, TX",16-01-2024 09:00,22,58,43.15,165.82,62,45.9,1721.49,184.91,84.9,0.72,Road Construction,Snowy
"Phoenix, AZ",16-01-2024 10:00,71,59,24.14,179.15,86,61.33,1589.2,86.69,56.3,0.7,Event Nearby,Sunny
"New York, NY",16-01-2024 11:00,80,19,21.03,85.42,45,17.63,4293.32,15.36,96.8,0.88,Road Construction,Rainy
"New York, NY",16-01-2024 12:00,74,20,13.94,128.35,48,21.61,4982.12,165.34,54.8,0.99,Event Nearby,Foggy
"San Diego, CA",16-01-2024 13:00,69,35,24.06,315.84,83,43.94,3417.66,84.82,67.7,0.8,Road Construction,Sunny
"San Diego, CA",16-01-2024 14:00,67,29,23.09,341.96,62,10.42,2063.75,40.79,58.7,0.84,Accident,Snowy
"New York, NY",16-01-2024 15:00,62,25,38.9,262.82,87,76.47,1990.49,77.85,37.9,0.84,Accident,Cloudy
"New York, NY",16-01-2024 16:00,46,32,26.73,80.16,43,13.52,4407.61,197.9,59,0.74,Clear,Cloudy
"Houston, TX",16-01-2024 17:00,56,43,33.75,345.77,70,12.43,2707.11,180.01,38.4,0.72,Road Construction,Rainy
"Chicago, IL",16-01-2024 18:00,61,40,48.74,383.14,54,29.06,3268.3,59.57,92.4,0.85,Road Construction,Snowy
"Dallas, TX",16-01-2024 19:00,28,30,5.32,140.03,87,57.44,4958.46,167.49,73.7,0.96,Accident,Snowy
"Dallas, TX",16-01-2024 20:00,91,37,36.96,233.31,45,41.26,1739.89,46.7,68.8,0.85,Clear,Rainy
"Houston, TX",16-01-2024 21:00,31,35,46.45,351.16,84,27.61,1610.52,151.3,74.9,0.81,Road Construction,Snowy
"San Diego, CA",16-01-2024 22:00,91,52,48.22,392.96,66,61.64,3777.29,120.69,91,0.8,Accident,Cloudy
"San Diego, CA",16-01-2024 23:00,58,30,38.91,126.79,71,57.74,2339.52,166.15,98.5,0.86,Road Construction,Foggy
"San Jose, CA",17-01-2024 00:00,45,56,24.21,351.3,64,52.71,1376.28,133.87,48.3,0.8,Road Construction,Sunny
"Los Angeles, CA",17-01-2024 01:00,39,57,35.46,276.5,78,33.65,3787.63,77.81,42.3,0.95,Heavy Traffic,Rainy
"Phoenix, AZ",17-01-2024 02:00,93,48,42.19,62.46,51,53.73,3126.26,57.99,48.9,0.73,Heavy Traffic,Cloudy
"Philadelphia, PA",17-01-2024 03:00,92,45,12.21,365.11,56,13.35,1117.49,138.03,91.7,0.88,Clear,Cloudy
"San Antonio, TX",17-01-2024 04:00,49,43,9.85,366.41,84,60.46,3870.05,114.17,76.8,0.95,Clear,Foggy
"San Antonio, TX",17-01-2024 05:00,53,31,35.9,71.04,40,30.25,4427.44,102.09,57.8,0.73,Heavy Traffic,Rainy
"Los Angeles, CA",17-01-2024 06:00,50,63,19.68,116.6,86,25.43,1690.62,188.93,57.2,0.92,Heavy Traffic,Cloudy
"Phoenix, AZ",17-01-2024 07:00,23,43,22.63,228.33,73,62.99,1612.41,128.58,77,0.96,Clear,Foggy
"San Jose, CA",17-01-2024 08:00,56,37,12.15,127.41,60,64.27,2294.58,28.77,32.4,0.76,Accident,Cloudy
"Los Angeles, CA",17-01-2024 09:00,53,40,8.53,203.38,73,45.94,2689.09,146.99,82.6,0.81,Accident,Cloudy
"San Diego, CA",17-01-2024 10:00,24,24,49.52,173.12,41,49.56,3263.01,23.8,44.3,0.72,Event Nearby,Cloudy
"Houston, TX",17-01-2024 11:00,75,32,24.43,214.69,66,26.25,3269.05,53.4,92,0.79,Event Nearby,Sunny
"San Jose, CA",17-01-2024 12:00,86,22,22.83,160.35,57,67.49,2944.48,44.79,80,0.82,Accident,Foggy
"New York, NY",17-01-2024 13:00,22,63,20.99,112.44,85,51.86,4587.34,106.7,83.7,0.89,Heavy Traffic,Rainy
"Houston, TX",17-01-2024 14:00,85,21,13.75,219.94,64,32.79,1253.71,35.49,44.8,0.81,Event Nearby,Rainy
"San Diego, CA",17-01-2024 15:00,74,36,47.14,345.66,88,48.36,2410.98,25.69,59.9,0.73,Clear,Snowy
"Los Angeles, CA",17-01-2024 16:00,83,48,41.27,106.56,82,67.91,3535.32,44.54,55.1,0.87,Road Construction,Foggy
"San Antonio, TX",17-01-2024 17:00,62,60,36.89,142.04,47,16.31,1373.02,78.42,31.1,0.81,Event Nearby,Cloudy
"Los Angeles, CA",17-01-2024 18:00,66,55,19.94,102.04,64,78.51,1973.1,160.36,66.4,0.87,Road Construction,Cloudy
"San Diego, CA",17-01-2024 19:00,24,49,30.23,370.13,53,41.94,3933.44,189.57,54,0.83,Event Nearby,Rainy
"Philadelphia, PA",17-01-2024 20:00,45,23,41.59,124.44,66,37.1,4155.71,151.66,81.8,0.8,Accident,Rainy
"Philadelphia, PA",17-01-2024 21:00,53,34,10.7,228.61,41,56.81,3083.25,26.12,86.1,0.99,Road Construction,Snowy
"Chicago, IL",17-01-2024 22:00,80,68,16.07,259.52,58,23.59,3067.96,163.6,75.9,0.86,Clear,Foggy
"Houston, TX",17-01-2024 23:00,63,22,9.51,129.13,67,40.94,3768.09,168.19,47.2,0.73,Accident,Snowy
"Dallas, TX",18-01-2024 00:00,41,41,26.3,185.13,79,79.35,4967.29,194.44,72.2,0.78,Heavy Traffic,Sunny
"Houston, TX",18-01-2024 01:00,83,17,38.69,69.16,63,64.8,2544.09,158.92,52.4,0.98,Heavy Traffic,Sunny
"New York, NY",18-01-2024 02:00,77,27,25.21,53.25,85,25.03,4911.13,124.3,97.6,0.87,Clear,Cloudy
"San Diego, CA",18-01-2024 03:00,70,21,48.99,279.35,75,30.4,1406.02,146.39,82.7,0.81,Accident,Cloudy
"San Jose, CA",18-01-2024 04:00,45,24,38.74,70.41,79,55.97,1228.87,164.41,70.3,0.85,Clear,Sunny
"Dallas, TX",18-01-2024 05:00,44,59,8.19,268.88,88,65.58,1306.34,125.65,67.9,0.82,Accident,Snowy
"Chicago, IL",18-01-2024 06:00,43,34,5.06,118.1,80,19.55,1915.59,142.31,48.2,0.84,Clear,Snowy
